1 2 3 4 
5 6 7 8 
9 10 11 12 
13 14 15 0 

1 2 3 4 
5 6 7 8 
9 10 11 0 
13 14 15 12 

1 2 3 4 
5 6 7 0 
9 10 11 8 
13 14 15 12 

1 2 3 4 
5 6 0 7 
9 10 11 8 
13 14 15 12 

1 2 3 4 
5 6 11 7 
9 10 0 8 
13 14 15 12 

1 2 3 4 
5 6 11 7 
9 10 15 8 
13 14 0 12 

1 2 3 4 
5 6 11 7 
9 10 15 8 
13 0 14 12 

1 2 3 4 
5 6 11 7 
9 0 15 8 
13 10 14 12 

1 2 3 4 
5 0 11 7 
9 6 15 8 
13 10 14 12 

1 0 3 4 
5 2 11 7 
9 6 15 8 
13 10 14 12 

1 3 0 4 
5 2 11 7 
9 6 15 8 
13 10 14 12 

1 3 11 4 
5 2 0 7 
9 6 15 8 
13 10 14 12 

1 3 11 4 
5 2 7 0 
9 6 15 8 
13 10 14 12 

1 3 11 4 
5 2 7 8 
9 6 15 0 
13 10 14 12 

1 3 11 4 
5 2 7 8 
9 6 0 15 
13 10 14 12 

1 3 11 4 
5 2 7 8 
9 0 6 15 
13 10 14 12 

1 3 11 4 
5 0 7 8 
9 2 6 15 
13 10 14 12 

1 3 11 4 
5 7 0 8 
9 2 6 15 
13 10 14 12 

1 3 11 4 
5 7 8 0 
9 2 6 15 
13 10 14 12 

1 3 11 4 
5 7 8 15 
9 2 6 0 
13 10 14 12 

1 3 11 4 
5 7 8 15 
9 2 6 12 
13 10 14 0 

1 3 11 4 
5 7 8 15 
9 2 6 12 
13 10 0 14 

1 3 11 4 
5 7 8 15 
9 2 6 12 
13 0 10 14 

1 3 11 4 
5 7 8 15 
9 0 6 12 
13 2 10 14 

1 3 11 4 
5 0 8 15 
9 7 6 12 
13 2 10 14 

1 0 11 4 
5 3 8 15 
9 7 6 12 
13 2 10 14 

1 11 0 4 
5 3 8 15 
9 7 6 12 
13 2 10 14 

1 11 4 0 
5 3 8 15 
9 7 6 12 
13 2 10 14 

1 11 4 15 
5 3 8 0 
9 7 6 12 
13 2 10 14 

1 11 4 15 
5 3 8 12 
9 7 6 0 
13 2 10 14 

1 11 4 15 
5 3 8 12 
9 7 0 6 
13 2 10 14 

1 11 4 15 
5 3 0 12 
9 7 8 6 
13 2 10 14 

1 11 4 15 
5 0 3 12 
9 7 8 6 
13 2 10 14 

1 11 4 15 
0 5 3 12 
9 7 8 6 
13 2 10 14 

1 11 4 15 
9 5 3 12 
0 7 8 6 
13 2 10 14 

1 11 4 15 
9 5 3 12 
7 0 8 6 
13 2 10 14 

1 11 4 15 
9 0 3 12 
7 5 8 6 
13 2 10 14 

1 11 4 15 
0 9 3 12 
7 5 8 6 
13 2 10 14 

0 11 4 15 
1 9 3 12 
7 5 8 6 
13 2 10 14 

11 0 4 15 
1 9 3 12 
7 5 8 6 
13 2 10 14 

11 9 4 15 
1 0 3 12 
7 5 8 6 
13 2 10 14 

11 9 4 15 
1 3 0 12 
7 5 8 6 
13 2 10 14 

